スイーパー	sweeper
コルチコステロイド	corticosteroid
フードデザート	food desert
ラバーカップ	rubber cup
アソシエイション	association
エンチラーダ	enchilada
ギターシンセサイザー	guitar synthesizer
スティルライフ	still life
ブートセクター	boot sector
サー	sir
ドライエリア	dry area
クオリティオブサービス	quality of service
メディカルエレクトロニクス	medical electronics
コンクリートプレーサー	concrete placer
バウチズモ	baptism
インタープリター	interpreter
ポリスコート	police court
サンシャイン	sunshine
ハイウェーカード	highway card
ファッショナブル	fashionable
リポート	report
コンポスト	compost
ポルノ	porno
コアキシャルスピーカー	coaxial speaker
ショートスリーパー	short sleeper
ミドルマネージメント	middle management
ウイング	wing
カップルプラン	couple plan
トップシークレット	top secret
ブリガンチン	brigantine
ソーラーパネル	solar panel
セルラーフォン	cellular phone
ジョッギング	jogging
スチールバンド	steel band
インデックスファイル	indexed file
セミコンダクター	semiconductor
スワッピング	swapping
バース	berth
ポエト	poet
クロップドパンツ	cropped pants
メイジャー	major
ソーティー	sortie
アクセスログ	access log
システムネットワーク	system network
データベースソフトウェア	database software
コーン	cone
グレイ	grey
リセール	resale
ピザパーラー	pizza parlor
コートハウス	courthouse
インデント	indent
レイ	lei
ラダートレーニング	ladder training
ボーディングカード	boarding card
パイント	pint
ロバストネス	robustness
ミュージカルグラス	musical glass
ホットスタンバイ	hot stand by
パレット	palette
ナースエイド	nurse aide
クラスター	cluster
プレヤデス	pleiades
ネットイン	net in
フリーサイズ	free size
ノーウエイト	no wait
ネーム	name
キブツ	kibbutz
コンテナファイル	container file
スノーフレーク	snowflake
ジェンダーバイアス	gender bias
チョコレートブラウニー	chocolate brownie
ビューワ	viewer
オープニングゲーム	opening game
コールドウォー	cold war
コーディネイト	coordinate
インターロイキン	interleukin
シンガー	singer
リーディングヒッター	leading hitter
スパームバンク	sperm bank
ベイウィンドー	bay window
ルーブル	louvre
フットボール	football
ジェンダーアイデンティティー	gender identity
センテンス	sentence
パッセージ	passage
トウインクル	twinkle
コンマン	con man
エスラム	s ram
フェニュグリーク	fenugreek
アンティグア	antigua
サムシング	something
カチオン	cation
オートミールクッキー	oatmeal cookie
ドリームランド	dreamland
ロビー	lobby
ガイダンス	guidance
フリーリード	free reed
ウエストコースト	west coast
シンタックス	syntax
パリティーチェック	parity check
アーマー	armor
ハンドリフト	hand lift
フェミニズム	feminism
シェルプロンプト	shell prompt
レンタルビデオ	rental video
アダプタ	adapter
プロポーショナルフォント	proportional font
エコーグラフィー	echography
エレクトロニックサウンド	electronic sound
エーロゾル	aerosol
ポップコーン	popcorn
ダブルボギー	double bogey
イメージサーベイ	image survey
アクセスキー	access key
シー	sea
ゴシックロック	gothic rock
ヒッチハイク	hitch hike
インディアナポリス	indianapolis
レガッタ	regatta
ギター	guitar
プロキシサーバー	proxy server
ヴァイス	vise
ワードプロセッサー	word processor
スピーチ	speech
ニューモード	new mode
ゼスチュア	gesture
ツナ	tuna
レヴェル	level
ベンチマーク	benchmark
フィヨルド	fjord
ダガー	dagger
エキスパートシステム	expert system
インフィニティ	infinity
パントリー	pantry
ジョブホッパー	job hopper
オブジェクトブラウザ	object browser
ドミトリー	dormitory
デスクワーク	desk work
ルーズソックス	loose socks
マキラドーラ	maquiladora
キープアライブメッセージ	keep alive message
リトリーバー	retriever
ゲリラ	guerrilla
デジタルオーディオ	digital audio
フリッカフリー	flicker free
ヤハウェ	yahweh
テルスター	telstar
インデクセーション	indexation
スターサファイア	star sapphire
マージナルマン	marginal man
ファイルグループクラス	file group class
バブーシュカ	babushka
ポートリプリケータ	port replicator
ナショナルコンベンション	national convention
パイオニアスピリット	pioneer spirit
ブリュット	brut
ムービーシーン	movie scene
クリーンアップ	cleanup
ソフトエラー	soft error
カーブ	curve
マルチプロセッサシステム	multiprocessor system
ネイチャートレイル	nature trail
グラフィックディスプレー	graphic display
アッシュメドウズキリフィッシュ	ash meadows killifish
パブリッシャー	publisher
ジュニアブラ	junior bra
ニュアンス	nuance
ボディスラム	body slam
フリーメイソン	freemasonry
ピーリング	peeling
コールドカラー	cold colour
イベントプロパティ	event property
スタンダードバージョン	standard version
アルビノ	albino
コースライン	course line
コードコンバータ	code converter
シルエット	silhouette
サブミッション	submission
マーケティングコスト	marketing cost
インナーウエア	underwear
ダイレクトシュート	direct shoot
ウォーゲーム	war game
アルティプラーノ	altiplano
ニッケル	nickel
コートチェンジ	code change
フルーティスト	flutist
ニュースマガジン	newsmagazine
プディング	pudding
ケミストリー	chemistry
テクニカルファウル	technical foul
サイリュウム	psyllium
ナタールサージャント	natal sergeant
ミリオンセラー	million seller
ミッドナイトブルー	midnight blue
セロハン	cellophane
ヒッキー	hickey
ロック	roc
プレフィックス	prefix
ダブルブレスト	double breasted
キャップスリーブ	cap sleeve
ミーイズム	me ism
テープカートリッジ	tape cartridge
ネガティブシンキング	negative thinking
フュネラルマーチ	funeral march
ピックテスター	pick tester
アービトレーションレベル	arbitration level
メノナイト	mennonite
ウェブサーファー	web surfer
ピリング	pilling
ポッターズエンジェルフィッシュ	potters angelfish
ザンダー	zander
ロータリードライヤー	rotary dryer
アーテキュレイト	articulate
スライサー	slicer
デシジョンメーキング	decision making
フルカラー	full colour
コネクションプロビジョニング	connection provisioning
トークン	token
グルー	glue
カードホッパ	card hopper
ポータル	portal
デンチャー	denture
クレソン	cresson
レンズシャッター	lens shutter
アージャント	urgent
ビザー	visa
プロテスタント	protestant
リードアウト	lead out
エージント	agent
ネットワークコントローラ	network controller
アナリシス	analysis
オフィスソフト	office soft
ラトビア	latvia
フラワーガール	flower girl
スピリチャリティー	spirituality
カニバリズム	cannibalism
チャレンジャー	challenger
レインボーフィッシュ	rainbow fish
ウォームアップ	warm up
パブリッシュ	publishing
ジャンボサイズ	jumbo size
サワークリーム	sour cream
ポリエチレン	polyethylene
ナイトクラブ	nightclub
アップグレード	upgrade
ポロネーズ	polonaise
バルト	balt
オールシーズン	all season
セックステクニック	sex technique
グリーク	greek
エンジョイ	enjoy
ボリシェヴィキ	bolshevik
チャリテイ	charity
トランジスタダイオードロジック	transistor diode logic
サーキットブレーカー	circuit breaker
サービスロード	service load
セックスシンボル	sex symbol
アルコホル	alcohol
アイデンティファイ	identify
ビジュアル	visual
リバリュエーション	revaluation
ミニ	mini
フライングヒル	flying hill
エマルション	emulsion
クリエーティブ	creative
ディボース	divorce
リスキー	risky
ドエリング	dwelling
ホールフーズ	whole foods
バブルバス	bubble bath
アマチュアレスリング	amateur wrestling
ベンディング	bending
ファッション	fashion
キャリーバック	carry back
ロケットエンジン	rocket engine
ダウンヒル	downhill
セレクション	selection
ブルー	blue
システムパラメータ	system parameter
アーバンビレッジ	urban village
ガーデナー	gardener
アクセスマスク	access mask
アークティックグレイリング	arctic grayling
コマース	commerce
エリミネーション	elimination
マドリッドプロトコル	madrid protocol
カリプソ	calypso
インシュレーションボード	insulation board
トラヒックパラメータ	traffic parameter
エコノミスト	economist
オピウム	opium
ソフトウエアハウス	software house
アドバンスド	advanced
レモンスカッシュ	lemon squash
ゲートウェイドラッグ	gateway drug
コントリビューション	contribution
トリプルボギー	triple bogey
パーティーピープル	party people
ドアエンジン	door engine
ソロアルバム	solo album
アサルトライフル	assault rifle
スタッグパーティー	stag party
プレース	place
レギュラーチェーン	regular chain
ディレギュレーション	deregulation
ウォルフラム	wolfram
シーグラス	sea glass
フリゲート	frigate
レクチャー	lecture
プレーイングマネジャー	playing manager
ニューロン	neuron
プリンタコネクタ	printer connector
インターシティ	intercity
クォリティーオブライフ	quality of life
イエメン	yemen
アコンプリス	accomplice
システムカメラ	system camera
デーライト	daylight
フリップフロップ	flip flop
ミニマルミュージック	minimal music
セクシスト	sexist
アミノ	amino
ケミストリ	chemistry
フューナラルマーチ	funeral march
カラーリンス	color rinse
ブレイクアウト	breakout
サーチパス	search path
シッピング	shipping
スノープロウ	snow plow
ナンバリングマシン	numbering machine
クレジットリスク	credit risk
ベーラム	bay rum
ツアーガイド	tour guide
カテゴリー	category
コンクリートジャングル	concrete jungle
ウインドウメニュー	window menu
ウェートベルト	weight belt
ハイエログリフ	hieroglyph
ゲン	gen
ネットウェア	netware
プライベートエクイティ	private equity
ナンバーツー	number two
クエンチ	quench
ダビング	dubbing
ボールスカート	ballet skirt
ブートキャンプ	boot camp
バニティー	vanity
クールダウン	cool down
サイマルキャスト	simulcast
デモンストレーター	demonstrator
ランニングシャツ	running shirts
サブシステム	subsystem
スキューギア	skew gear
アクロバットダンス	acrobatic dance
ビター	bitter
トップレディー	top lady
ミーンズテスト	means test
ティラー	tiller
ジャンプボール	jump ball
ローティー	roti
アトモスフェア	atmosphere
アカウントドメイン	account domain
サーフェスモデル	surface model
ジャンパプラグ	jumper plug
サボタージ	sabotage
カンファレンシング	conferencing
ステップス	steps
アリゾナ	arizona
バックグラウンド	background
コバルトブルー	cobalt blue
コンピュータアート	computer art
ヒューマンエコロジー	human ecology
バイナル	vinyl
ラドン	radon
リングアフランカ	lingua franca
ワンマイルウェア	one mile wear
スカウトマン	scout man
ヴァイキング	viking
ブールギニョン	bourguignon
シーズンパス	season pass
ソーラーコレクター	solar collector
ボウリングレーン	bowling lane
フロリダバス	florida bass
ラザーニャ	lasagna
リニクス	linux
シュート	shoot
リバーシブルレーン	reversible lane
スクラッチレース	scratch race
アテンション	attention
ナレッジ	knowledge
デルファイ	delphi
ダオ	dao
トワイライト	twilight
ウェストポーチ	waist pouch
ベッドテクニック	bed technique
コンポジットインデックス	composite index
ギャングエージ	gang age
アーダー	ardor
インテリアコーディネーター	interior coordinator
テレビジョンネットワーク	television network
キャンドソフトウェア	canned software
チューブトップ	tube top
ジャズ	jazz
フォークロック	folk rock
ビートル	beetle
ニードルポイント	needlepoint
ポーコ	poco
エゴチスト	egotist
ヒステリー	hysteria
ハイハードル	high hurdle
ホワイトクリスマス	white christmas
ドルシフト	dollar shift
オンラインイベント	online event
スノーフェスティバル	snow festival
トーン	tone
ハワイ	hawaii
オスティナート	ostinato
バスーン	bassoon
レック	lek
ハーフウエー	halfway
ベンツ	vent
オンラインテスト	online test
カスバ	casbah
ツーウエースピーカー	two way speaker
グースベリー	gooseberry
タロットカード	tarot card
オーナメント	ornament
ディスクドライブ	disk drive
シラー	scilla
ロータンダ	rotunda
グラント	grant
コミュニティーケア	community care
マロー	mallow
フレンチスリーブ	french sleeve
サディスト	sadist
ドラッグデリバリーシステム	drug delivery system
トポロジカル	topological
ホモセクシュアル	homosexual
ステーションコール	station call
スピードウェイ	speedway
ジョーク	joke
フリージャズ	free jazz
マグニチュード	magnitude
クリーンインストール	clean install
パーソナルコール	personal call
デサール	dessert
クーデター	coup detat
イレギュラーバウンド	irregular bound
コンプリメント	compliment
アーテキュレット	articulate
メータースタンプ	meter stamp
クロスポスト	cross post
アドゥベンチャラス	adventurous
テイル	tail
グレイエリア	gray area
セルフィッシュ	selfish
プロセシング	processing
ウッド	wood
ティンパニー	timpani
カルチャーツアー	cultural tour
ウォークライ	war cry
シャンパングラス	champagne glass
カスタマサービス	customer service
ピンカール	pin curl
マッシュ	mash
アクト	act
メインテナンス	maintenance
ドローンゲーム	drawn game
マッピング	mapping
セットアップ	setup
イド	id
マティーニ	martini
テロリスト	terrorist
パセリ	parsley
アシスト	assist
キャスターオイル	castor oil
スパイ	spy
キーツール	key tool
オートマチック	automatic
サマーリゾート	summer resort
ゴッドマザー	godmother
トップシェア	top share
ウェイトベルト	weight belt
サバティカル	sabbatical
ジャンパポスト	jumper post
リダイアル	redial
コントロールコード	control code
ピッケル	pickel
バッティングアベレージ	batting average
アット	at
フェニックス	phoenix
キオスク	kiosk
ナタル	natal
ランダムウオーク	random walk
コモンウェルスデー	commonwealth day
センスフル	senseful
ハーフサイズカメラ	half size camera
シンボリズム	symbolism
メンタルテスト	mental test
ヒップボーン	hipbone
プライオリティ	priority
ガード	guard
ミニコミュニケーション	mini communication
キャラクターデザイン	character design
テレメデシン	telemedicine
ハッキング	hacking
テーブルフットボール	table football
オイリー	oily
コーション	caution
ステンシル	stencil
ネフローゼ	nephrosis
テンダー	tender
メジャーアップグレード	major upgrade
コマーシャルフィルム	commercial film
スタンダードモード	standard mode
モーゲッジ	mortgage
プルシャンブルー	prussian blue
ジョイン	join
マスタードソース	mustard sauce
ファセット	facet
キャラクタデバイス	character device
エヴリバディ	everybody
ピーク	peak
バンキング	banking
ボイコット	boycott
クーリングファン	cooling fan
インワゴン	in wagon
キャメル	camel
ボーゲン	bogen
バラエティーストア	variety store
シンサーバー	thin server
ピクニック	picnic
ガーディアン	guardian
ファインセラミックス	fine ceramics
マチエール	material
ピンコネクタ	pin connector
サーボ	servo
クレッセント	crescent
インストルメント	instrument
アブストラクション	abstraction
メリノ	merino
ブンド	bund
カードモデル	card model
ロードミラー	road mirror
ダッキング	ducking
アウスト	oust
モール	mall
テークアウト	take out
プロディジー	prodigy
スワップミート	swap meet
パイナッポー	pineapple
ケンタッキー	kentucky
マタニティーウエア	maternity wear
リディア	lydia
ユービキタスコンピューティング	ubiquitous computing
ブーケ	bouquet
シンセサイザ	synthesizer
グリースガン	grease gun
バッファリング	buffering
ジェネラル	general
ドリーミー	dreamy
スニファ	sniffer
エアコンプレッサー	air compressor
サロス	saros
プライバシーポリシー	privacy policy
プロメテウス	prometheus
カロチン	carotene
アイデンティティー	identity
テニスクラブ	tennis club
フレクシビリティー	flexibility
バタートースト	butter toast
ライナー	liner
エルサルバドル	el salvador
ピーナツバター	peanut butter
ソドミー	sodomy
サーバブレード	server blade
バッファメモリ	buffer memory
プレイアディ	pleiades
アセンブリー	assembly
デングウイルス	dengue virus
カバーレター	cover letter
シングルスコート	singles court
クイズ	quiz
デファクトスタンダード	de facto standard
エレクトリカルキー	electrical key
バチェラー	bachelor
リテール	retail
ピッチャー	pitcher
キャスチングリール	casting reel
ユニークビジター	unique visitor
ディナーパーティー	dinner party
アマチュアリズム	amateurism
オートパーラー	auto parlor
オプション	option
アーティファクト	artifact
ガスマスク	gas mask
レイアー	rare
キセノンアークランプ	xenon arc lamp
アドレナリンジャンキー	adrenaline junkie
フロントエンド	front end
コングロマリット	conglomerate
ストライド	stride
シーリング	ceiling
リベット	rivet
クオート	quart
ドラスティック	drastic
ルーティンワーク	routine work
オートログイン	auto login
テクノロジーバブル	technology bubble
ワイルドキャット	wildcat
スイッチドバーチャルサーキット	switched virtual circuit
ウイ	oui
アカウントエグゼクティブ	account executive
ホームメード	homemade
アスリートファンド	athlete fund
セルロス	cell loss
キッズビジネス	kids business
エクスキューズミー	excuse me
インデックス	index
キャプチャカード	capture card
チェンジレバー	change lever
ソーシャリスト	socialist
エラーレベル	error level
ゼリービーンズ	jelly beans
プロテオーム	proteome
レター	letter
リッパ	ripper
インディビジュアリティー	individuality
アンロード	unload
アウェア	aware
サンプルサイズ	sample size
プロジェクトチーム	project team
フラン	franc
ローズマダー	rose madder
ワークショップ	workshop
テスタメント	testament
インテリア	interior
セクシィ	sexy
ストリップショー	strip show
スクリュー	screw
ミックスサンド	mix sand
カット	cut
フレックスタイム	flextime
キーパーチャージ	keeper charge
アモルファスシリコン	amorphous silicon
ベジタリアン	vegetarian
カズン	cousin
サマリー	summary
グルーヴ	groove
ガンマン	gunman
フレッシュマン	freshman
オールマイティ	almighty
スポーティー	sporty
アコースティックサウンド	acoustic sound
アフェアー	affair
ネットワークアクセスポイント	network access point
ビーツリー	b tree
パルムドール	palme dor
バニシングクリーム	vanishing cream
アウトドアレジャー	outdoor leisure
ティランノサウルス	tyrannosaurus
カーボーイ	cowboy
カラフル	colorful
インチ	inch
ロケーション	location
スヌーピー	snoopy
ファッティー	fatty
ノーコントロール	no control
レイアウトシステム	layout system
ニューローラー	new roller
バンジョー	banjo
ホームコンピューティング	home computing
インテリアクラフト	interior craft
パラレルコネクタ	parallel connector
グロースリセッション	growth recession
アウトサイド	outside
デスポット	despot
オルガヌム	organum
ハイシエラフォーマット	high sierra format
エントリーシート	entry sheet
アンカーボルト	anchor bolt
プラスチックマネー	plastic money
オーバードクター	over doctor
ネフライト	nephrite
トラックアップ	track up
パーリング	pearling
プロキシサーバ	proxy server
バードウオッチャー	bird watcher
ボジョレーヌーヴォー	beaujolais nouveau
アールブリュト	art brut
ポジティブリスト	positive list
アテンションエコノミー	attention economy
オープンスカイ	open sky
ディレクトリストア	directory store
チリパウダー	chili powder
ジェオデシック	geodesic
スポットカラー	spot color
クエーサー	quasar
アコースティックギター	acoustic guitar
スポーツクライミング	sport climbing
ブリュワリー	brewery
モガジシオ	mogadishu
アクティブセル	active cell
ホールホイートブレッド	whole wheat bread
マタニティドレス	maternity dress
ソーター	sorter
シク	sikh
グッドタイミング	good timing
スイートハート	sweetheart
マシンサイクル	machine cycle
エターナル	eternal
プリンシパル	principal
ムニュ	menu
リチウム	lithium
ブルースハープ	blues harp
ヴァイブレーション	vibration
レフレクター	reflector
ハーレクィン	harlequin
リセラー	reseller
ラッキーガール	lucky girl
イントランス	entrance
シーズナル	seasonal
ルンゲ	lunge
ウエンズデー	wednesday
フォノロジー	phonology
ラージ	large
ニューモデル	new model
プレイグランド	playground
ニュービー	newbie
バターケーキ	butter cake
トレイナー	trainer
トロピカルドリンク	tropical drink
カスタムズ	customs
ビーフストロガノフ	beef stroganoff
マッチ	match
クエッションマーク	question mark
メイルボックス	mailbox
リアルタイムブロックリスト	real time block list
コモンキャリヤー	common carrier
エンブロイダリーレース	embroidery lace
サーフキャスティング	surf casting
タピストリー	tapestry
スネアドラム	snare drum
スマートシティ	smart city
クラスプ	clasp
バッテリー	battery
キャッチワード	catchword
ディスプレーアダプター	display adapter
ポテンツ	potency
キャンプサイト	camp site
アクメ	acme
ウイスパー	whisper
リップクリーム	lip cream
プレーヤーキャラクター	player character
パーフェクトボディ	perfect body
プロフィール	profile
スクリプトコマンド	script command
クラッチヒッター	clutch hitter
エヤクラチオン	ejaculation
フェース	faith
リクルーター	recruiter
トップバッター	top batter
アイドルギア	idle gear
カドミウム	cadmium
コンピュータセキュリティー	computer security
スポーツシャツ	sports shirts
シニアハイスクール	senior high school
スキャッブ	scab
バイナリモード	binary mode
ネイル	nail
レート	rate
ツーステップ	two step
クリスマスツリー	christmas tree
ギャップ	gap
プロフェッサー	professor
コミュニティースクール	community school
フローターサーブ	floater serve
パトリオティズム	patriotism
ロールバー	roll bar
ザイロフォウン	xylophone
バスクラリネット	bass clarinet
エコバッグ	eco bag
スイートルーム	suite room
マッカーシズム	mccarthyism
グループウィンドウ	group window
トランジスター	transistor
リロケート	relocate
ラビオリ	ravioli
アレル	allele
アーマリー	armory
ミソロジー	mythology
オーバーステップ	overstep
ガットギター	gut guitar
